asset_type,asset_sub_type,asset_sub_type_description,business_function,business_activity,retention_period,retention_reason,security_title,action_on_expiry,reason_for_action,appraisal_criteria,authorised_by,authorisation_date,master,classification_code,notes,keywords
Documents,Interviews, ,COMMUNICATIONS AND MARKETING,Media Relations,3 years,Business Need,Public Access,Review,Possible Historical Interest,N/A,_Records Management,01/11/2005, N/A,CM-MediaRel-008,,
Documents,Articles, ,COMMUNICATIONS AND MARKETING,Public Relations,5 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/03/2007,Departments,CM-MediaRel-001,,
Documents,Payments,Inlcudes Freelancer Payment Records,EXTERNAL ACCOUNTABILITY,Broadcast Appeals,7 years,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/09/2015, N/A,FN-Expendit,"Records of payments, copies of cheques etc given to applicats for grants",
Documents,Programme Costs,,FINANCE,Accounting,7 years,BBC Best Practice,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/01/2007, N/A,FN-Accounting,,
Documents,Compliance Forms (Production),"includes Television, Radio, Online, Ofcom Compliance Forms.  Compliance forms record the whole range of compliance issues that producers may face during the making of a programme. They record the referral process that should be used.",PRODUCTION,Editorial,Permanent,Legal,Editorially Sensitve,Archive,Editorial Compliance,N/A,_Records Management,01/04/2011, N/A,Pr-Editorial-009,Radio Forms held in Proteus. TV Forms held in Compliance Manager. Click on link in Reason for Action for more detail.  Not required for live programmes with no taped element longer than 15 minutes.,
Documents,Sick Records, ,PERSONNEL,Absence and Leave,3 years,Business Need,Restricted Access,Destroy,Data Protection Act,N/A,Legal,01/02/2017,Human Resources,PE-Absence-002,Advice form Chartered Institute of Personnel,
Documents,Channel Strategy, ,STRATEGIC MANAGEMENT AND DIRECTION,Channel Management,5 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,_Records Management,01/06/2003, N/A,SM-ChannelMan, ,
Documents,Genre Strategy, ,STRATEGIC MANAGEMENT AND DIRECTION,Channel Management,5 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,_Records Management,01/06/2003, N/A,SM-ChannelMan, ,
Documents,Channel Planning, ,STRATEGIC MANAGEMENT AND DIRECTION,Channel Management,5 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,_Records Management,01/06/2003, N/A,SM-ChannelMan, ,
Documents,Guidelines,"Record of procedures, standards or instructions for a specific principle or action",COMMUNICATIONS AND MARKETING,Branding,Until Superseded,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/01/2005,Marketing Communications and Audiences,SM-Policy-004,,
Documents,Competitor Documentation, ,COMMUNICATIONS AND MARKETING,Competition,3 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/01/2005,Marketing Communications and Audiences,CM-Competition,Actual retention period is of 3 years review but local copies can be kept for period of administrative need only.,
Documents,List of Closing Creditors, ,FINANCE,Accounting,7 years,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/01/2005,SAP,FN-Accounting,,
Documents,Year End Reports, ,FINANCE,Accounting,7 years,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/01/2005,SAP,FN-Accounting,,
Documents,Management Reports, ,FINANCE,Accounting,7 years,Business Need, N/A,Destroy,BBC Best Practice,N/A,_Records Management,01/01/2005,SAP,FN-Auditing,,
Documents,Programme Funding ,Programme Funding records,FINANCE,Funding,7 years,BBC Best Practice,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/05/2011, N/A,FN-Budget,,
Documents,Community Projects, ,EXTERNAL ACCOUNTABILITY,Corporate Social Responsibility,Completion of project+7,Business Need,Restricted Access,Review,BBC Best Practice,N/A,BBC Films,01/01/2005,Corporate Social Responsibility,SM-ProjectMan-001,User move to closed folder when completed - I&A review after 7 years. Local documents should be kept only for the period of administrative need.,
Documents,Development Meetings, ,PRODUCTION,Talent Management,3 years,Business Need, N/A,Review,Possible Historical Interest,N/A,Drama,01/11/2004,Drama,PR-TalentMan-003, ,
Documents,Creative Meetings, ,PRODUCTION,Talent Management,3 years,Business Need, N/A,Review,Possible Historical Interest,N/A,Drama,01/11/2004,Drama,PR-TalentMan-003, ,
Documents,Curriculum Vitae,CV,PRODUCTION,Talent Management,End of Production,Business Need,Restricted Access,Destroy,Data Protection Act,N/A,_Records Management,01/05/2011,Vision Productions,PR-TalentMan-005, Freelancers CVs should be destroyed if freelancer no longer wishes to be contacted for offers of employment.,
Documents,Language Lists, ,PRODUCTION,Content Creation,5 years,Business Need,Restricted Access,Review,Business Need,N/A,BBC Films,01/01/2005, N/A,PR-ProgDev,,
Documents,Property Schedules,"Includes deeds schedules, inventories",LEGAL AND CONTRACTS,Conveyancing,Permanent,Business Need,Restricted Access,Archive,BBC Best Practice,N/A,Property Legal,01/10/2005,BBC Property Solicitors,LC-Conveyance-001,,
Documents,Booking Forms,Booking Forms,PRODUCTION,Talent Management,7 years,BBC Best Practice,Editorially Sensitve,Review,Possible Historical Interest,N/A,Vision,01/05/2011,Production Office,PR-TalentMan-002, ,
Documents,Overtime Forms, ,PERSONNEL,Employment Management,3 years,Business Need,Restricted Access,Review,No Further Value,N/A,_Records Management,01/01/2007,SAP,PE-EMployMan-018,,
Documents,Audit Timetable, ,INFORMATION MANAGEMENT,Auditing,Period of business/administrative need,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/11/2004,Departments,IM-Auditing-001,,
Documents,Audit Questionnaires, ,INFORMATION MANAGEMENT,Auditing,Period of business/administrative need,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/11/2004,Departments,IM-Auditing-001,,
Documents,Audit Reports, ,INFORMATION MANAGEMENT,Auditing,5 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,_Records Management,01/11/2004,Departments,IM-Auditing ,,
Documents,Audit Reports, ,FINANCE,Auditing,7 years,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/01/2007,Departments,FN-Auditing,,
Documents,Audit Reports, ,ENGINEERING AND TECHNOLOGY,Auditing,3 years,Business Need,Restricted Access,Destroy,No Further Value,N/A,Technology Direction,01/10/2005,Technology Group,ET-Technical-003,,
Documents,Change Management Programmes, ,STRATEGIC MANAGEMENT AND DIRECTION,Change Management,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,_Records Management,01/06/2005, N/A,SM-ChangeMan,,
Documents,DCMS - Public Service Approvals,Applications and Supporting Documentation.,EXTERNAL ACCOUNTABILITY,Government Relations,5 years,Business Need,Public Access,Review,Possible Historical Interest,N/A,Policy,01/12/2004,Public Policy,EA-GovRels,Already on internet and hard copy when DCMS publish. Possible link to DCMS website ,
Documents,Public Consultations, ,EXTERNAL ACCOUNTABILITY,European Relations,5 years,Business Need,Non-Restricted,Review,Possible Historical Interest,N/A,Policy,01/12/2004,Policy and Legal,EA-EuroRels,Availble when published by Government,
Documents,DCMS - New Service Approvals,Applications and Supporting Documentation,EXTERNAL ACCOUNTABILITY,Government Relations,5 years,Business Need,Public Access,Review,Possible Historical Interest,N/A,Policy,01/12/2004,DCMS,EA-GovRels,Already on internet and hard copy when DCMS publish. Possible link to DCMS website ,
Documents,Technical Reports, ,ENGINEERING AND TECHNOLOGY,Technical Development,Completion of project+7,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,_Records Management,01/04/2005,Research and Development,ET-Technical-005,"Restricted due to commercial interests, some may be able to be published.",
Documents,Procurement Records," Records relating to the processes involved in requesting, ordering, auditing, and paying for goods and services",INFORMATION MANAGEMENT,Project Management,Completion of project+7,Business Need,Non-Restricted,Destroy,No Further Value,N/A,_Records Management,01/05/2013,Departments,FN-Accounting,,
Documents,Audience Lines, ,COMMUNICATIONS AND MARKETING,Audience and Consumer Research,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Radio,01/11/2004, N/A,CM-AudResearc-006,,
Documents,Publicity, ,COMMUNICATIONS AND MARKETING,Promotions,Period of business/administrative need,Business Need,Non-Restricted,Review,Possible Historical Interest,N/A,Marketing Communications and Audiences,01/11/2004,Press and Publicity,CM-Promotions-007,,
Documents,Sponsorship Deals, ,FINANCE,Funding,5 years,BBC Best Practice,Restricted Access,Review,Possible Historical Interest,N/A,_Records Management,01/05/2005, N/A,FN-Funding,,
Documents,Awaydays, ,PERSONNEL,Internal Communication,3 years,Business Need,Restricted Access,Review,Business Need,N/A,Radio,01/12/2004, N/A,CM-Communicat-003, ,
Documents,Contact Lists,"Details of individuals and can include name, address phone number, NI number, credit card details",COMMUNICATIONS AND MARKETING,Public Relations,Period of business/administrative need,Business Need,Restricted Access,Destroy,Data Protection Act,N/A,_Records Management,01/05/2005, N/A,CM-Communicat-009,,
Documents,Contact Lists,"Details of individuals and can include name, address phone number, NI number, credit card details",PRODUCTION,Content Creation,Period of business/administrative need,Business Need,Restricted Access,Destroy,Data Protection Act,N/A,_Records Management,01/05/2005, N/A,CM-Communicat-009,,
Documents,Action Plans, ,PERSONNEL,Diversity,5 years,Business Need,Non-Restricted,Review,BBC Best Practice,N/A,Diversity,01/04/2005,Diversity,PE-Diversity,,
Documents,Plans, ,BROADCASTING,Scheduling,Until Superseded,Business Need,Restricted Access,Destroy,Superseded,N/A,_Records Management,01/05/2005, N/A,BD-Scheduling-003,,
Documents,Flexible Working, ,PERSONNEL,Employment Management,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/04/2005,Departments,PE-EmployMan,Information alos held with Staff Files and reviewed 3 years from cessastion.,
Documents,Technical Specifications, ,ENGINEERING AND TECHNOLOGY,Technical Development,Completion of project+7,Business Need,Restricted Access,Review,Business Need,N/A,Radio,01/11/2004, N/A,ET-Technical-005,,
Documents,Data Protection Act - Requests, ,LEGAL AND CONTRACTS,Compliance,Permanent,Business Need,Restricted Access,Archive,BBC Best Practice,N/A,IPC Team,01/12/2004,Information Policy and Compliance,LC-Compliance-001,Restricted due to personal information,
Documents,RAJAR Reports and Analysis, ,COMMUNICATIONS AND MARKETING,Audience and Consumer Research,10 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Radio,01/12/2004,Radio and Music,CM-AudResearc-011,Needed to look back a long way for Charter Review,
Documents,Appeals Advisory Committee - Admin Arrangements, ,EXTERNAL ACCOUNTABILITY,Broadcast Appeals,1 year,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/03/2005,Appeals,EA-BroadApp-007,,
Documents,Appeals Advisory Committee - Correspondence, ,EXTERNAL ACCOUNTABILITY,Broadcast Appeals,3 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,_Records Management,01/03/2005,Appeals,EA-BroadApp-009,,
Documents,Appeals Advisory Committee - Final Documents, ,EXTERNAL ACCOUNTABILITY,Broadcast Appeals,Permanent,Business Need,Restricted Access,Archive,Historical,N/A,_Records Management,01/03/2005,Appeals,EA-BroadApp-008,,
Documents,Advisory Councils - Admin Arrangements, ,EXTERNAL ACCOUNTABILITY,Accountability,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,BBC Trust,01/06/2003,English Regional HQ,EA-Accountab-001,,
Documents,Audience Council - Final Documents, ,EXTERNAL ACCOUNTABILITY,Accountability,Permanent,Charter and Agreement,Restricted Access,Archive,Historical,N/A,English Regions,01/04/2013,BBC Trust,EA-Accountab,,
Documents,Local Advisory Council - Admin Arrangements, ,EXTERNAL ACCOUNTABILITY,Accountability,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,Nations and Regions,01/11/2004,English Regional HQ,EA-BroadApp-007,,
Documents,Local Advisory Council - Final Documents, ,EXTERNAL ACCOUNTABILITY,Accountability,Permanent,Business Need,Restricted Access,Archive,Historical,N/A,Nations and Regions,01/11/2004,English Regional HQ,EA-Accountab,,
Documents,Regional Advisory Council - Admin Arrangements, ,EXTERNAL ACCOUNTABILITY,Accountability,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,Nations and Regions,01/11/2004,English Regional HQ,EA-Accountab-001,,
Documents,Regional Advisory Council - Final Documents, ,EXTERNAL ACCOUNTABILITY,Accountability,Permanent,Business Need,Restricted Access,Archive,Historical,N/A,Nations and Regions,01/11/2004,English Regional HQ,EA-Accountab,,
Documents,Investigating Complaints - Case Files, ,EXTERNAL ACCOUNTABILITY,Complaints,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Editorial Complaints Unit,01/11/2004,Editorial Complaints Unit,EA-Complaints,Contain personal information. Release may prejudice conduct of Public Affairs,
Documents,Co-Production Agreements, ,PRODUCTION,Commissioning,10 years,Legal,Restricted Access,Archive,Legal,N/A,NULL,01/01/2005,Commercial Agency,PR-Commission-005,,
Documents,Job Evaluation - Final Evaluations,Includes profile and grade,PERSONNEL,Employment Management,10 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,BBC People,01/12/2004,BBC People,PE-EmployMan-003, ,
Documents,English National Forum - Final Documents, ,EXTERNAL ACCOUNTABILITY,Accountability,Permanent,Charter and Agreement,Non-Restricted,Archive,Historical,N/A,BBC Trust,01/06/2003,English Regional HQ,EA-Accountab,,
Documents,Executive Board - Admin Arrangements,Working papers documenting the condition and administration of meetings.  Includes notices of meetings.,STRATEGIC MANAGEMENT AND DIRECTION,Executive Business,2 years,Business Need,Restricted Access,Destroy,No Further Value,N/A,Executive Business Unit,01/06/2003,Executive Business Unit,SM-ExecBus-002,Hard Copy held by DA,
Documents,Royal Liaison Records,,EXTERNAL ACCOUNTABILITY,Royal Liaison,5 years,BBC Best Practice,Restricted Access,Review,Possible Historical Interest,N/A,Radio,01/11/2004, N/A,EA-RoyalLiais,,
Documents,Press Information," includes Press Office Briefing Notes, Core Brief, Rolling Brief, Daily Brief, News Lists, Analysis of Press",COMMUNICATIONS AND MARKETING,Media Relations,Period of business/administrative need,Business Need,Non-Restricted,Review,Possible Historical Interest,N/A,Press Office,01/04/2014,Press Office,CM-MediaRel-003,,
Documents,Press Summaries, Summaries of what is in the press,COMMUNICATIONS AND MARKETING,Media Relations,1 year,Business Need,Non-Restricted,Destroy,No Further Value,N/A,Press Office,01/11/2004,Press Office,CM-MediaRels-009,,
Documents,Correspondence for Publication,Letters for reply to newspapers,COMMUNICATIONS AND MARKETING,Media Relations,5 years,Business Need,Non-Restricted,Review,Possible Historical Interest,N/A,Press Office,01/11/2004,Press Office,CM-MediaRel-001,,
Documents,Press Office Logs,Statements of Press Office business,COMMUNICATIONS AND MARKETING,Media Relations,Permanent,Business Need,Non-Restricted,Archive,Business Need,N/A,Press Office,01/11/2004,Press Office,CM-MediaRel-006,,
Documents,Executive Board - Final Documents,"Final versions of agenda, minutes and supporting documents tabled at meetings.",STRATEGIC MANAGEMENT AND DIRECTION,Executive Business,Permanent,Business Need,Non-Restricted,Archive,Historical,N/A,Information and Archives,01/06/2003,Executive Business Unit,SM-ExecBus-003,Hard Copy held by DA,
Documents,Joint Boards Conference - Final Documents,Final versions of agenda minutes and supporting documents tabled at meetings.,EXTERNAL ACCOUNTABILITY,Regulation,Permanent,BBC Best Practice,Restricted Access,Archive,No Further Value,N/A,BBC Trust,01/06/2003, N/A,EA-Regulation-005,,
Documents,Official Boards and Committees - Admin Arrangements,Working papers documenting the condition and administration of meetings.  Includes notices of meetings.,STRATEGIC MANAGEMENT AND DIRECTION,Meetings,2 years,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/05/2005,Divisions,SM-Meetings-003,,
Documents,Official Boards and Committees - Admin Arrangements,Working papers documenting the condition and administration of meetings.  Includes notices of meetings.,EXTERNAL ACCOUNTABILITY,Regulation,2 years,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/04/2013,BBC Trust,EA-Regulation-004,,
Documents,Official Boards and Committees - Final Documents,"Final versions of agenda, minutes and supporting documents tabled at meetings.",EXTERNAL ACCOUNTABILITY,Regulation,Permanent,Business Need,Restricted Access,Archive,BBC Best Practice,N/A,BBC Trust,01/06/2013,BBC Trust,EA-Regulation-005,,
Documents,Official Boards and Committees - Final Documents,"Final versions of agenda, minutes and supporting documents tabled at meetings.",STRATEGIC MANAGEMENT AND DIRECTION,Meetings,Permanent,Business Need,Restricted Access,Archive,BBC Best Practice,N/A,_Records Management,01/11/2004,Divisions,SM-Meetings-004,,
Documents,Team Meetings - Final Documents,"Final versions of agenda, minutes and supporting documents tabled at meetings.",COMMUNICATIONS AND MARKETING,Meetings,3 years,Business Need,Restricted Access,Review,Business Need,N/A,Marketing Communications and Audiences,01/11/2004,Departments,CM-Meetings-003,,
Documents,BBC Reviews - Reports, ,STRATEGIC MANAGEMENT AND DIRECTION,Strategy,Completion of project+5,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Strategy and Distribution,01/10/2004, N/A,SM-Strategy-001, ,
Documents,Cost Control - Ledger Analysis, ,FINANCE,Accounting,7 years,Statutory,Restricted Access,Destroy,BBC Best Practice,N/A,Finance,01/11/2004,SAP,FN-Accounting, ,
Documents,Corporate Social Responsibility - Board Meetings, ,EXTERNAL ACCOUNTABILITY,Corporate Social Responsibility,5 years,Business Need,Non-Restricted,Review,Possible Historical Interest,N/A,Policy,01/12/2004,Corporate Social Responsibility,EA-CorpSocial,"Community Involvement Programme, Corporate Social Responsibility - Board Meetings.",
Documents,Admin Arrangements, ,COMMUNICATIONS AND MARKETING,Events,3 years,Business Need, N/A,Review,Possible Historical Interest, No Appraisal Criteria at present,_Records Management,01/04/2005,Departments,CM-Events,,
Documents,Annual Report  - Signed Original, ,EXTERNAL ACCOUNTABILITY,Accountability,Permanent,Charter and Agreement,Public Access,Archive,Historical,N/A,BBC Trust,01/06/2003, N/A,EA-Accountab,,
Documents,Director General - Appointment Procedure,"This includes practical arrangements, description of the process and its stages and other documents which are mainly about the process rather than the candidate.",PERSONNEL,Recruitment,Permanent,Business Need,Restricted Access,Archive,Historical,N/A,BBC Trust,01/08/2012,BBC Trust,PE-Recruit-016,,
Documents,Payments and Fees,Records documenting the payment of non BBC staff,PRODUCTION,Talent Management,7 years,BBC Best Practice,Restricted Access,Destroy,Business Need,N/A,News Division,01/12/2004,SAP,PE-Remunerat-001, ,
Documents,Copyright Payments and Fees, ,LEGAL AND CONTRACTS,Intellectual Property,Permanent,Copyright Designs and Patents Act,Restricted Access,Archive,BBC Best Practice,N/A,Litigation and Intellectual Property,01/12/2004,CLIP,LC-IntelProp-002,,
Documents,Charter - External Communication, ,EXTERNAL ACCOUNTABILITY,Charter,5 years,Charter and Agreement,Restricted Access,Review,BBC Best Practice,N/A,BBC Trust,01/06/2003,BBC Secretary,EA-Charter-007,,
Documents,Accounting Officer - Correspondence, ,FINANCE,Accounting,Permanent,Business Need,Restricted Access,Archive,Historical,N/A,World Service,01/11/2004,World Service Finance,EA-Accountab,,
Documents,Referrals,Documents relating to cases where someone is suspected of crime or wrong-doing. These documents are given to appropriate authority but no proceeedings are taken.,LEGAL AND CONTRACTS,External Liaison,Completion of Investigation,Legal,Restricted Access,Destroy,No Further Value,N/A,Programme Legal Advice,01/11/2004,Programme Legal Advice,LC-ExtLiason-001,Where proceeding are taken then see activity of Litigation.,
Documents,Course Attendance Records,"Includes attendee (staff name and number), course title, course length, date, cost of course, charge codes.",PERSONNEL,Training and Development,6 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,Legal,01/11/2005,Legal Department,PE-TrainDev-006,,
Documents,Work Experience Records,"Includes placement reports for work experience and vacation trainees (name, date of placement and report on their performance - only specific to work undertaken).  The information is not retained, disclosed or used for future employment within the BBC).",PERSONNEL,Training and Development,3 years,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/04/2005,Departments,PE-TrainDev-004,,
Documents,Disclosure Lists, ,LEGAL AND CONTRACTS,Employment Law,Completion of case+6,Law Society Regulations,Restricted Access,Review,BBC Best Practice,N/A,Employment Law Department,01/11/2004,Employment Law Department,LC-Litigation-007,Refer to Employment Law Department prior to final disposition.,
Documents,Other Commercial Contracts,"Includes commercial property, R and D, Location, Events, Training and Development, Archives, Non-Content Programme Related, Non Programme Educational",LEGAL AND CONTRACTS,Contracts,Expiry+6,Legal,Restricted Access,Review,Possible Historical Interest,N/A,Litigation and Intellectual Property,01/11/2004,Client Department,LC-Contracts-005,Information will usually comprise of trade secrets.  For Patent Licences see Patents.,
Documents,Reporting, ,FINANCE,Accounting,7 years,BBC Best Practice,Restricted Access,Destroy,BBC Best Practice,N/A,Finance,01/11/2004,SAP,FN-Accounting, ,
Documents,Cash Book, ,FINANCE,Accounting,7 years,Companies Act,Restricted Access,Destroy,BBC Best Practice,N/A,Finance,01/11/2004,SAP,FN-Accounting-020, ,
Documents,Weekly Programme Highlights, ,EXTERNAL ACCOUNTABILITY,Parliamentary and Political Relations,3 years,Business Need,Non-Restricted,Destroy,No Further Value,N/A,Policy,01/12/2004,Public Affairs,EA-ParlRels-007,On request,
Documents,MPs Profiles, ,EXTERNAL ACCOUNTABILITY,Parliamentary and Political Relations,5 years,Business Need,Restricted Access,Review,No Further Value,N/A,Policy,01/12/2004,Public Affairs,EA-ParlRels,Personal information. May prejudice effective conduct of Public Affairs,
Documents,Appeals to Trustees (not upheld),Complaints that have been referred to the Trust following the ECU appeals procedure but were still not upheld.,EXTERNAL ACCOUNTABILITY,Complaints,5 years,Business Need,Restricted Access,Review,Business Need,N/A,BBC Trust,01/06/2013,BBC Trust,EA-Complaints,"Includes General, FT.Editorial, TV Licensing",
Documents,Public and Commercial Service Guidelines, ,EXTERNAL ACCOUNTABILITY,Government Relations,Until Superseded,Business Need,Non-Restricted,Destroy,No Further Value,N/A,Policy,01/12/2004,DCMS,EA-GovRels-002,Already on intranet and available on DCMS website.,
Documents,Commercial Service Guidelines, ,EXTERNAL ACCOUNTABILITY,Government Relations,Until Superseded,Business Need,Non-Restricted,Destroy,No Further Value,N/A,Policy,01/12/2004,DCMS,EA-GovRels-002,Already on intranet and available on DCMS website.,
Documents,Lobbying, ,EXTERNAL ACCOUNTABILITY,Government Relations,5 years,Business Need,Non-Restricted,Review,Possible Historical Interest,N/A,Policy,01/12/2004,Parliamentary Affairs,EA-GovRels,Held by Document Archives. On request,
Documents,Fair Trading Log, ,EXTERNAL ACCOUNTABILITY,Fair Trading,5 years,Legal,Restricted Access,Destroy,No Further Value,N/A,Head of Fair Trading,01/12/2004,Fair Trading,EA-FairTradin-013,Restricted to commercial interests.,
Documents,DCMS Correspondence, ,EXTERNAL ACCOUNTABILITY,Government Relations,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Policy,01/12/2004,Public Policy,EA-GovRels,Release could prejudice effective conduct of public affairs. ,
Documents,European Broadcasting Union Correspondence, ,EXTERNAL ACCOUNTABILITY,European Relations,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Policy,01/12/2004,Nicholas Kenyon,EA-EuroRels,,
Documents,Charity Commission Correspondence, ,LEGAL AND CONTRACTS,Charities/Trusts,5 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,Litigation and Intellectual Property,01/11/2004,CLIP,LC-Charities-001,Information BBC holds via interest in trust.,
Documents,Records of Training,"Training records for BBC and non-BBC staff e.g. freelancers. Includes training on systems, word, excel etc. Includes training such as stress management. time management, Industry Qualifications.",PERSONNEL,Training and Development,50 years,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,BBC People,01/08/2009,BBC People,PE-TrainDev-002,Includes Industry Qualifications and Operational Training,
Documents,Parliamentary Week, ,EXTERNAL ACCOUNTABILITY,Parliamentary and Political Relations,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Policy,01/12/2004,Public Affairs,EA-ParlRels,Prejudice to the effective conduct of Public Affairs. Copyright issues,
Documents,Codes of Practice, ,PRODUCTION,Commissioning,Until Superseded,Business Need, N/A,Review,BBC Best Practice,N/A,_Records Management,01/11/2004, N/A,PR-Commission-001,,
Documents,Development Papers, ,STRATEGIC MANAGEMENT AND DIRECTION,Strategy,5 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,Strategy and Distribution,01/10/2004, N/A,SM-Strategy, ,
Documents,Final Documents, ,STRATEGIC MANAGEMENT AND DIRECTION,Strategy,5 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,Strategy and Distribution,01/10/2004, N/A,SM-Strategy, ,
Documents,Year End Accounts - Corporate, ,FINANCE,Accounting,7 years,BBC Best Practice,Restricted Access,Archive,BBC Best Practice,N/A,Finance,01/11/2004,SAP,FN-Accounting,Published in Annual Report,
Documents,Feasibility Studies, ,PROPERTY AND SERVICES,Environmental Management,Completion of project+6,Business Need,Restricted Access,Review,BBC Best Practice,N/A,BBC Workplace,01/10/2004, N/A,PS-EnviroMan-004, ,
Documents,Health Surveillance Records,"Records relating to the activities of detecting work related ill health  and acting on the results. Includes, health assessments, checks, reporting and medical examination. (includes ill health resulting from excessive noise)",PERSONNEL,Health and Safety,During employment and 40 years from last entry,Management of Health and Safety at Work Regulations 1999,Medical in Confidence,Destroy,BBC Best Practice,N/A,Occupational Health Department,01/12/2004,BBC Safety,PE-HealthSafe-024,,
Documents,Health Records,Records detailing work history and health surveillance information of staff. Does not contain medically confidential information. Occupationally related disease not covered in COSHH,PERSONNEL,Health and Safety,During employment and 10 years from last entry,Codes of Practice,Restricted Access,Destroy,BBC Best Practice,N/A,Occupational Health Department,01/12/2004,BBC Safety,,Pre April 2006 retention 10 years from last entry,
Documents,Hygiene Risk Assessments,"Risk assessment records to eliminate control or minimise risks from hazards such as noise, vapours, substances.",PERSONNEL,Health and Safety,Until Superseded,Management of Health and Safety at Work Regulations 1999,Restricted Access,Destroy,BBC Best Practice,N/A,Head of Safety Policy and Compliance,01/09/2011,BBC Safety,PE-HealthSafe-026,,
Documents,Health Surveillance - COSHH,"Records relating to the activities of detecting work related ill health due to hazardous substances and acting on the results. Includes, health assessments, checks, reporting and medical examination.",PERSONNEL,Health and Safety,During employment and 40 years from last entry,Control of Substances Hazardous to Health Regulations,Medical in Confidence,Destroy,BBC Best Practice,N/A,Occupational Health Department,01/12/2004,BBC Safety,PE-HealhSafe-024,Pre April 2006 retention 40 years from last entry  ,
Documents,Medical Records,"Includes database records, doctor consultation notes, machine print-outs, patients correspondence, vaccination records, standard occupational health records, pre-placement health screening questionnaire and associated documents.",PERSONNEL,Health and Safety,During employment and 10 years from last entry,Codes of Practice,Medical in Confidence,Review,BBC Best Practice,Medical Records,Occupational Health Department,01/12/2004,BBC Safety,PE-HealthSafe-031,Pre April 2006 retention 10 years from last entry. Includes Service user files from Access Unit  ,
Documents,Copyright Assignments, ,LEGAL AND CONTRACTS,Intellectual Property,Permanent,Legal,Restricted Access,Archive,BBC Best Practice,N/A,Litigation and Intellectual Property,01/12/2004,Client Department,LC-IntelProp-001,Some held by CLIP,
Documents,Corporate Commercial Contracts,"Includes records relating to joint ventures, financing transactions, agreements with subsidiaries, acquisition, disposal, commercial property transactions, charities/trusts",LEGAL AND CONTRACTS,Contracts,Expiry+6,Legal,Restricted Access,Destroy,BBC Best Practice,N/A,Litigation and Intellectual Property,01/11/2004,CLIP/FPBA,LC-Contracts-002,,
Documents,Panel Firm Agreements,Agreements with external law firms,LEGAL AND CONTRACTS,Contracts,Expiry+6,Legal,Restricted Access,Review,BBC Best Practice,N/A,Litigation and Intellectual Property,01/12/2004,General Counsel,LC-Contracts-011,Information about fee rates commercially sensitive,
Documents,Bid Evaluations, ,FINANCE,Tendering,6 years,BBC Best Practice,Restricted Access,Destroy,BBC Best Practice,N/A,Legal,01/07/2009,Procurement,FN-Tendering,"includes, scoring, analysis",
Documents,Procurement Contract Negotiations, ,LEGAL AND CONTRACTS,Contracts,Expiry+6,Legal,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/05/2013,CLIP/Client,LC-Contracts-00M, ,
